,en,es,de,pl,it,pt,fr
KEY_CUT_1_1,Location: Some sea.,Ubicación: algo de mar.,Lage: Etwas Meer.,Lokalizacja: Jakieś morze. ,Ubicazione: Some sea.,Localização: Algum mar.,Emplacement: un peu de mer.
KEY_CUT_1_2,LAND!!! I AM SAVED !!! ,¡¡¡TIERRA!!! ESTOY SALVADA !!!,LAND!!! ICH BIN GERETTET !!!,Ziemia!!! JESTEM URATOWANY,TERRA!!! SONO SALVATO !!!,TERRA!!! EU SOU SALVO !!!,TERRE!!! JE SUIS SAUVÉ !!!
KEY_CUT_1_3,I should go there…,Debería ir allí ...,Ich sollte dorthin gehen ...,Powinienem tam pójść,Dovrei andare lì ...,Eu deveria ir lá,Je devrais y aller…
KEY_CUT_2_1,"A map.
It leads to the treasure, which will be able to repair all robots! I must have this
Treasure as fast as I can","Un mapa. ¡Conduce al tesoro, que podrá reparar todos los robots!
Debo tener este tesoro lo más rápido que pueda","Eine Landkarte. Es führt zu dem Schatz, der alle Roboter reparieren kann!
Ich muss diesen Schatz so schnell wie möglich haben","Mapa
Prowadzi do skarbu, dzięki któremu będę w
stanie naprawić wszystkie roboty! Muszę go mieć jak najszybciej.","Una cartina. Porta al tesoro, che sarà in grado di riparare tutti i robot!
Devo avere questo tesoro il più velocemente possibile","Um mapa. Isso leva ao tesouro, que poderá reparar todos os robôs!
Eu devo ter esse tesouro o mais rápido possível","Une carte. Il mène au trésor, qui pourra réparer tous les robots!
Je dois avoir ce trésor aussi vite que possible"
KEY_CUT_3_1,Hmm… What is the temple doing in the middle of a giant glacier ?!,Hmm ... ¿Qué está haciendo el templo en medio de un glaciar gigante?,Hmm ... Was macht der Tempel inmitten eines riesigen Gletschers ?!,Hmm… Co robi świątynia na środku gigantycznego lodowca ?!,Hmm ... Cosa sta facendo il tempio nel mezzo di un ghiacciaio gigante ?!,Hmm… O que o templo está fazendo no meio de uma geleira gigante ?!,Hmm… Que fait le temple au milieu d'un glacier géant?!
KEY_CUT_3_2,Should i go now here?!,¿Debo ir ahora aquí?,Soll ich jetzt hier hingehen?!,Powinienem tam teraz iść?,Ora dovrei andare qui ?!,Devo ir agora aqui ?!,Dois-je aller maintenant ici?!
KEY_CUT_3_3,Nevermind...,No importa...,Keine Ursache...,Nieważne,Non importa...,Deixa pra lá...,Ça ne fait rien...
KEY_CUT_4_1,"So… here I am. If the map is right, now i have to go here.","Así que aquí estoy. Si el mapa es correcto, ahora tengo que ir aquí.","So, hier bin ich. Wenn die Karte stimmt, muss ich jetzt hierher gehen.","Jeśli mapa jest prawidłowa,
Powinienem tam teraz iść.","Quindi ... eccomi qui. Se la mappa è corretta, ora devo andare qui.","Então aqui estou. Se o mapa estiver correto, agora tenho que ir aqui.","Alors… me voici. Si la carte est bonne, je dois maintenant aller ici."
KEY_CUT_5_1,"Ok. Let's go back to the factory…
Oh. It’s on horizon. I have to get there as fast as I can.","Okay. Volvamos a la fábrica... Oh. Está en el horizonte.
Tengo que llegar tan rápido como pueda.","In Ordnung. Gehen wir zurück in die Fabrik... Oh.
Es ist am Horizont. Ich muss so schnell wie möglich dort sein.","Ok. Wróćmy do fabryki… Hej.
Widać ją na horyzoncie!","Ok. Torniamo in fabbrica... Oh.
È all'orizzonte. Devo arrivarci il più velocemente possibile.","Está bem. Vamos voltar para a fábrica... Oh.
Está no horizonte. Eu tenho que chegar lá o mais rápido possível.","D'accord. Revenons à l'usine… Oh.
C'est à l'horizon. Je dois y arriver aussi vite que possible."
KEY_CUT_5_2,"There is also a labolatroium.
Only through itI can enter the factory.",También hay un laboratorio. Solo a través de él puedo ingresar a la fábrica.,Es gibt auch ein Labolatroium. Nur dadurch kann ich die Fabrik betreten.," Jest także labolatroium.
Tylko dzięki niemu mogę wejść do fabryki",C'è anche un labolatrio. Solo attraverso di essa posso entrare in fabbrica.,Há também um labolatroium. Somente através dele posso entrar na fábrica.,Il y a aussi un labolatroium. Ce n'est que par ce biais que je peux entrer en usine.
KEY_CUT_6_1,"Well, I have a laboratory passed...","Bueno, tengo un laboratorio aprobado ...","Nun, ich habe ein Labor bestanden ...","Cóż, przeszedłem laboratorium ...","Bene, ho un laboratorio superato ...","Bem, eu tenho um laboratório passado ...","Eh bien, j'ai passé un laboratoire ..."
KEY_CUT_6_2,Oh. I know. Let’s go to the mountains. There will be a factory.,Oh. Lo sé. Vamos a las montañas. Habrá una fabrica.,Oh. Ich kenne. Lass uns in die Berge gehen. Es wird eine Fabrik geben.,"Wiem. Muszę iść w kierunku gór.
Tam będzie fabryka.",Oh. Lo so. Andiamo in montagna. Ci sarà una fabbrica.,Oh Eu sei. Vamos para as montanhas. Haverá uma fábrica.,Oh. Je sais. Allons à la montagne. Il y aura une usine.
KEY_CUT_7_1,In a minute!!,¡¡En un minuto!!,In einer Minute!!,Za chwilę,In un minuto!!,Em um minuto!!,Dans une minute!!
KEY_CUT_7_2,AARGH! I… GOT… IT!,AARGH! ¡LO TENGO!,AARGH! ICH HAB ES GESCHAFFT!,AAARGH!! Już… pra… wie…,AARGH! CAPITO!,AARGH! DEIXA COMIGO!,AARGH! J? AI COMPRIS!
KEY_CUT_7_3,Woah. I did it! I DID IT!,Woah ¡Lo hice! ¡LO HICE!,Woah. Ich habs geschafft! ICH HABS GESCHAFFT!,Zrobiłem to. ZROZBIŁEM TO!,Woah. L'ho fatto! L'HO FATTO!,Woah. Eu fiz isso! EU FIZ ISSO!,Woah. Je l'ai fait! JE L'AI FAIT!
