,en,es,de,pl,it,pt,fr
KEY_APPLY,Apply,Aplicar,Einreichen,Zastosuj,Applicare,Aplique,Appliquer
KEY_CONTROLS,"A/Left - Left
D/Right - Right
Space -  Jump/SpinDash
","A / Izquierda - Izquierda
D / Derecha - Derecha
Espacio – Salto/SpinDash","A / Links - Links
D / rechts - richtig
Weltraum – Jump/SpinDash","A/Left - Lewo
D/Right - Prawo
Space – Skok/SpinDash","A / Sinistra - Sinistra
D / Destra - Destra
Spazio – Salta/SpinDash","A / esquerda - esquerda
D / Direita - Direita
Espaço – Jump/SpinDash","A / Gauche - Gauche
D / Droite - Droite
Space – Jump/SpinDash"
KEY_GRAPHICS,Graphics,Gráficos,Grafik,Grafika,Grafica,Gráficos,Graphique
KEY_WINDOW_TYPE,Window Type,Tipo de ventana,Fenstertyp,Typ Okna,Tipo di finestra,Tipo de janela,Type de fenêtre
KEY_RESOLUTION,Resolution,Resolución,Auflösung,Rozdzielczość,Risoluzione,Resolução,Résolution
KEY_MUSIC,Music,Música,Musik,Muzyka,Musica,Música,La musique
KEY_VOLUME,Volume,Volumen,Volumen,Głośność,Volume,Volume,Le volume
KEY_BACKGROUND,Background,Fondo,Hintergrund,Muzyka z tła,Sfondo,Fundo,Contexte
KEY_SFX,SFX,SFX,SFX,Efekty,SFX,SFX,SFX
KEY_OFF,Off,De,Aus,Wył,Via,Fora,De
KEY_On,On,En,Auf,Wł,Sopra,Em,Sur
KEY_SAVE,Save,Salvar,Sparen,Zapisz,Salvare,Guardar,Sauvegarder
KEY_Return,Return,Regreso,Rückkehr,Wróć do gry,Ritorno,Retorna,Revenir
KEY_Load,Load,Carga,Belastung,Załaduj,Caricare,Carga,Charge
KEY_Options,Options,Opciones,Optionen,Opcje,Opzioni,Opções,Les options
KEY_Stats,Stats,Estadísticas,Statistiken,Statystyki,Statistiche,Estatísticos,Statistiques
KEY_Quit,Quit,Dejar,Verlassen,Wyjdź,Smettere,Sair,Quitter
KEY_Play,Play,Jugar,Abspielen,Graj,Giocare,Toque,Jouer
KEY_MODE1,Normal Mode,Modo normal,Normaler Modus,Tryb Normalny,Modalit? normale,Modo normal,Mode normal
KEY_TUT1,"Enter places like this,
to go to the next levels","Entra en lugares como este,
Para pasar a los siguientes niveles.","Orte wie diese eingeben,
Um zu den nächsten Stufen zu gelangen","Wchodź do miejsc takich jak te,
by dostać się do następnych poziomów","Inserisci posti come questo,
Per passare ai livelli successivi","Insira lugares como este
Para ir para os próximos níveis","Entrez dans des endroits comme celui-ci,
Pour passer aux niveaux suivants"
KEY_WINDOWED,Windowed,Windowed,Windowed,W oknie,Windowed,Windowed,Venteux
KEY_MAXIMIZED,Maximized,Maximizado,Maximiert,Maksymalizacja,Massima,Maximizado,Maximisé
KEY_FULLSCREEN,Fullscreen,Pantalla completa,Vollbildschirm,Pełny Ekran,A schermo intero,Tela cheia,Plein écran
KEY_PLAY_AWAY,Continue Playing,Sigue jugando,Spielen Sie weiter,Graj dalej,Continua a giocare,Continue jogando,Rejouer
KEY_EXP,Experience,Experiencia,Erfahrung,Punkty doświadczenia,Esperienza,Experiência,Expérience
KEY_ENEMIES,Killed Enemies,Enemigos muertos,Getötete Feinde,Pokonani przeciwnicy,Nemici uccisi,Inimigos mortos,Ennemis tués
KEY_COINS,Coins,Monedas,Münzen,Monety,Monete,Moedas,Pièces de monnaie
KEY_THANKS,Thanks,Gracias,Vielen Dank,Dzięki,Grazie,Obrigado,Merci
LANG_EN,English,Inglés,Englisch,Angielski,Inglese,Inglês,Anglais
LANG_ES,Spanish,Español,Spanisch,Hiszpański,Spagnolo,Espanhol,Espanol
LANG_DE,Deutsch,Deutsch,Deutsch,Niemiecki,Tedesco,Deutsch,Deutsch
LANG_PL,Polish,Polaco,Polieren,Polski,Polacco,Polonês,Polonais
LANG_IT,Italiano,Italiano,Italiano,Włoski,Italiano,Italiano,Italiano
LANG_PT,Portuguese,Portugués,Portugiesisch,Portugalski,Portoghese,Português,Portugues
KEY_LANG,Language,Idioma,Sprache,Język,Linguaggio,Língua,La langue
KEY_G_A,Graphics & Audio,Gráficos y Audio,Grafik & Audio,Grafika i Audio,Grafica e audio,Gráficos e ?udio,Graphiques et audio
KEY_CON_TAB,Controls,Controles,Steuerelemente,Sterowanie,Controlli,Controles,Les contrôles
LANG_FR,French,Francés,Französisch,Francuski,Francese,Francês,Français
KEY_CONTROLLER,Check controller settings,Verifique la configuración del controlador,?berprüfen Sie die Controller-Einstellungen,Sprawdź ustawienia kontrolera,Controlla le impostazioni del controller,Verifique as configurações do controlador,Vérifier les paramètres du contrôleur
KEY_DEVICE,Device,Dispositivo,Gerät,Urządzenie,Dispositivo,Dispositivo,Dispositif
KEY_Axis0,Axis 0,Eje 0,Achse 0,Oś 0,Asse 0,Eixo 0,Axe 0
KEY_Axis1,Axis 1,Eje 1,Achse 1,Oś 1,Asse 1,Eixo 1,Axe 1
KEY_Axis2,Axis 2,Eje 2,Achse 2,Oś 2,Asse 2,Eixo 2,Axe 2
KEY_Axis3,Axis 3,Eje 3,Achse 3,Oś 3,Asse 3,Eixo 3,Axe 3
KEY_Axis4,Axis 4,Eje 4,Achse 4,Oś 4,Asse 4,Eixo 4,Axe 4
KEY_Axis5,Axis 5,Eje 5,Achse 5,Oś 5,Asse 5,Eixo 5,Axe 5
KEY_Axis6,Axis 6,Eje 6,Achse 6,Oś 6,Asse 6,Eixo 6,Axe 6
KEY_Axis7,Axis 7,Eje 7,Achse 7,Oś 7,Asse 7,Eixo 7,Axe 7
KEY_Axis8,Axis 8,Eje 8,Achse 8,Oś 8,Asse 8,Eixo 8,Axe 8
KEY_Axis9,Axis 9,Eje 9,Achse 9,Oś 9,Asse 9,Eixo 9,Axe 9
KEY_Axis10,Axis 10,Eje 10,Achse 10,Oś 10,Asse 10,Eixo 10,Axe 10
KEY_Buttons,Buttons:,Botones:,Tasten:,Przyciski:,Pulsanti:,Botões:,Boutons:
KEY_WIB_3,Vibration Duration,Duración de la vibración,Vibrationsdauer,Długość wibracji,Durata delle vibrazioni,Duração da vibração,Durée de vibration
